episode_id,episode_number,episode_title,channel,source_file,word_count
1,1,10 Questions with Coach Hassan Mansour [Ufi8xR5CaxQ],@BarbellMedicine,10 Questions with Coach Hassan Mansour [Ufi8xR5CaxQ].txt,706
2,2019,10 Questions with Coach Leah Lutz [NO1FvmcCBeM],@BarbellMedicine,10 Questions with Coach Leah Lutz [NO1FvmcCBeM].txt,980
3,700,10 Questions with Dr. Austin Baraki [7nP5cpkJLeI],@BarbellMedicine,10 Questions with Dr. Austin Baraki [7nP5cpkJLeI].txt,743
4,20,10 Questions with Dr. Jordan Feigenbaum [K15DJ_VP_m8],@BarbellMedicine,10 Questions with Dr. Jordan Feigenbaum [K15DJ_VP_m8].txt,2540
5,32,10 Questions with Tom Campitelli [FK6GfRk0SIU],@BarbellMedicine,10 Questions with Tom Campitelli [FK6GfRk0SIU].txt,619
6,285,2019 Brooklyn Q⧸A Part II： Who Would Win In A Fight？ Plus Gluten Intolerance [QU_N5JaPPqI],@BarbellMedicine,2019 Brooklyn Q⧸A Part II： Who Would Win In A Fight？ Plus Gluten Intolerance [QU_N5JaPPqI].txt,5914
7,315,"2019 Brooklyn Q⧸A： How Strong is Strong Enough For Sports, HDL Cholesterol, SARMS, and more! [1ZPWsX6RHZc]",@BarbellMedicine,"2019 Brooklyn Q⧸A： How Strong is Strong Enough For Sports, HDL Cholesterol, SARMS, and more! [1ZPWsX6RHZc].txt",7666
8,100,"2019 Chicago Q⧸A： Drs. Baraki and Feigenbaum discuss SUGAR, risks of training, menopause, and more! [czhZDNSJd-U]",@BarbellMedicine,"2019 Chicago Q⧸A： Drs. Baraki and Feigenbaum discuss SUGAR, risks of training, menopause, and more! [czhZDNSJd-U].txt",9823
9,45,"2019 St. Louis Q⧸A Part 1： Training Sensitivity, More Pain Science, and How to Press Big Weights! [YukTQPHRii0]",@BarbellMedicine,"2019 St. Louis Q⧸A Part 1： Training Sensitivity, More Pain Science, and How to Press Big Weights! [YukTQPHRii0].txt",9299
10,2019,"2019 St. Louis Q⧸A Part II： LBM and Health, Genetics, and Arguing on the Internet! [x9XChHwbnUc]",@BarbellMedicine,"2019 St. Louis Q⧸A Part II： LBM and Health, Genetics, and Arguing on the Internet! [x9XChHwbnUc].txt",5480
11,1,2020 San Diego Q⧸A  (Full Version) [dZ6Va7dKzNA],@BarbellMedicine,2020 San Diego Q⧸A  (Full Version) [dZ6Va7dKzNA].txt,10230
