/Users/bryanantonelli/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(

🔍 INGEST STARTUP
• CHANNELS_DIR: /Users/bryanantonelli/forged-by-freedom/ingest/channels
• Pinecone index: forged-freedom-ai
• Embedding model: text-embedding-3-large
• Chunk tokens: 3000
• Episodes to ingest: 4184
🚀 BEGIN INGEST

✅ [1/4184] @FoundMyFitness | Dr. Rhonda Patrick | How Micronutrients & Exercise Ameliorate... | 4 chunks
✅ [2/4184] @FoundMyFitness | Dr. Rhonda Patrick | The Truth About Alcohol： Risks, Benefits... | 13 chunks
✅ [3/4184] @FoundMyFitness | Dr. Rhonda Patrick | Dr. Brad Schoenfeld： Resistance Training... | 9 chunks
✅ [4/4184] @FoundMyFitness | Dr. Rhonda Patrick | Dr. Ben Bikman： How To Reverse Insulin R... | 13 chunks
✅ [5/4184] @FoundMyFitness | Dr. Rhonda Patrick | How Heat Therapy Improves Slow Wave Slee... | 1 chunks
✅ [6/4184] @FoundMyFitness | Chris McGlory, PhD, | Chris McGlory, PhD, on the Anabolic Pote... | 8 chunks
✅ [7/4184] @FoundMyFitness | Dr. Rhonda Patrick | Dr. Bill Harris on the Omega-3 Index： In... | 8 chunks
✅ [8/4184] @FoundMyFitness | Dr. Rhonda Patrick | Dr. Benjamin Levine： How Exercise Preven... | 9 chunks
✅ [9/4184] @FoundMyFitness | Dr. Rhonda Patrick | Dr. Andy Galpin： The Optimal Diet, Suppl... | 19 chunks
✅ [10/4184] @FoundMyFitness | Dr. Rhonda Patrick | Dr. Peter Attia on Mastering Longevity –... | 16 chunks
✅ [11/4184] @FoundMyFitness | Dr. Rhonda Patrick | How to Improve Metabolic Health with HII... | 4 chunks
✅ [12/4184] @FoundMyFitness | Dr. Rhonda Patrick | Ask Me Anything When You Sign Up as a Fo... | 1 chunks
✅ [13/4184] @FoundMyFitness | Dr. Rhonda Patrick | What Microplastics Are Doing to the Brai... | 5 chunks
✅ [14/4184] @FoundMyFitness | Dr. Rhonda Patrick | The Science of Protein and Its Role in L... | 3 chunks
✅ [15/4184] @FoundMyFitness | Stuart Phillips, PhD, | Stuart Phillips, PhD, on Building Muscle... | 8 chunks
✅ [16/4184] @FoundMyFitness | Derek from MPMD | How To Increase Your Testosterone Levels... | 13 chunks
✅ [17/4184] @FoundMyFitness | Dr. Rhonda Patrick | The Brain and Social Impacts of Early De... | 1 chunks
✅ [18/4184] @FoundMyFitness | Dr. Rhonda Patrick | George Church, PhD： Rewriting Genomes to... | 7 chunks
✅ [19/4184] @FoundMyFitness | Dr. Rhonda Patrick | Can Psilocybin Treat Depression？... | 1 chunks
✅ [20/4184] @FoundMyFitness | Dr. Rhonda Patrick | This Supplement Could Cut Your Dementia ... | 2 chunks
✅ [21/4184] @FoundMyFitness | Dr. Rhonda Patrick | Get the Free 9-Page BDNF Protocol Guide：... | 1 chunks
✅ [22/4184] @FoundMyFitness | Morgan Levine, PhD, | Morgan Levine, PhD, on PhenoAge and the ... | 6 chunks
✅ [23/4184] @FoundMyFitness | Dr. Rhonda Patrick | The Science of Magnesium and Its Role in... | 5 chunks
✅ [24/4184] @FoundMyFitness | Dr. Michael Grandner | Why You Can’t Sleep (and How to Fix It) ... | 17 chunks
✅ [25/4184] @FoundMyFitness | Dr. Rhonda Patrick | Peter Diamandis and Tony Robbins on stra... | 7 chunks
✅ [26/4184] @FoundMyFitness | Dr. Rhonda Patrick | Dr. Martin Gibala： The Science of Vigoro... | 11 chunks
✅ [27/4184] @FoundMyFitness | Dr. Rhonda Patrick | Is there a limit to human longevity？... | 1 chunks
✅ [28/4184] @FoundMyFitness | Dr. Rhonda Patrick | Dr. Rhonda Patrick： Optimizing Longevity... | 4 chunks
✅ [29/4184] @FoundMyFitness | Dr. Rhonda Patrick | Why Exercise Intensity Matters for Longe... | 4 chunks
✅ [30/4184] @FoundMyFitness | Dr. Rhonda Patrick | How to Train According to the Experts... | 14 chunks
✅ [31/4184] @FoundMyFitness | Dr. Rhonda Patrick | The Longevity & Brain Benefits of Vigoro... | 4 chunks
✅ [32/4184] @FoundMyFitness | Axel Montagne, PhD, | Axel Montagne, PhD, on Solving Alzheimer... | 6 chunks
✅ [33/4184] @FoundMyFitness | Dr. Rhonda Patrick | Dr. Luc Van Loon： Optimizing Protein Int... | 9 chunks
✅ [34/4184] @FoundMyFitness | Dr. Rhonda Patrick | How to Solve Aging in America (US Senate... | 1 chunks
✅ [35/4184] @FoundMyFitness | Darren Candow, PhD | The Optimal Creatine Protocol for Streng... | 9 chunks
✅ [36/4184] @FoundMyFitness | Dr. Rhonda Patrick | Dr. Layne Norton on Building Muscle – In... | 16 chunks
✅ [37/4184] @FoundMyFitness | Dr. Rhonda Patrick | Intestinal Permeability： the Bacterial l... | 4 chunks
✅ [38/4184] @FoundMyFitness | Dr. Rhonda Patrick | How To Use Coffee To Live Longer (Full G... | 4 chunks
✅ [39/4184] @FoundMyFitness | Dr. Rhonda Patrick | How Vitamin D, Omega-3s, & Exercise May ... | 5 chunks
✅ [40/4184] @FoundMyFitness | Dr. Rhonda Patrick | Andrew Huberman, PhD： How to Improve Mot... | 16 chunks
✅ [41/4184] @FoundMyFitness | Dr. Rhonda Patrick | Dr. Ashley Mason on Sauna Use for Depres... | 8 chunks
✅ [42/4184] @FoundMyFitness | Dr. Rhonda Patrick | Dr. Eran Elinav on Microbiome Insights i... | 7 chunks
✅ [43/4184] @FoundMyFitness | Dr. Rhonda Patrick | Cold-Water Immersion and Cryotherapy： Ne... | 1 chunks
✅ [44/4184] @FoundMyFitness | Kerry Courneya, PhD | The Science of Exercise for Cancer ｜ Ker... | 8 chunks
✅ [45/4184] @FoundMyFitness | Dr. Rhonda Patrick | Try FoundMyFitness Premium for 30-days f... | 1 chunks
✅ [46/4184] @FoundMyFitness | Dr. Rhonda Patrick | Can exercise replace alcohol cravings？... | 1 chunks
✅ [47/4184] @FoundMyFitness | Dr. Rhonda Patrick | Dr. Dominic D'Agostino on Developing a W... | 12 chunks
✅ [48/4184] @bodybuildingcom | unknown | Dead Bug - Abdominal ⧸ Core Exercise Gui... | 1 chunks
✅ [49/4184] @bodybuildingcom | unknown | Getting Ripped And Cover Ready - Part 1 ... | 1 chunks
✅ [50/4184] @bodybuildingcom | unknown | Define Your Greatness - Show Us Your Bea... | 1 chunks
✅ [51/4184] @bodybuildingcom | unknown | Ava Cowan： Naturally Driven - Ava's Stor... | 1 chunks
✅ [52/4184] @bodybuildingcom | Hunter Labrada's Chest Workout | 5 Moves To Powerful Pecs ｜ Hunter Labrad... | 1 chunks
✅ [53/4184] @bodybuildingcom | unknown | Cable Crunch - Abs ⧸ Core Exercise - Bod... | 1 chunks
✅ [54/4184] @bodybuildingcom | Build Legs You'll Love | Ashley Hoffmann Legs Workout ｜ Build Leg... | 1 chunks
