/Users/bryanantonelli/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(

🔍 INGEST STARTUP
• CHANNELS_DIR: /Users/bryanantonelli/forged-by-freedom/ingest/channels
• Pinecone index: forged-freedom-ai
• Embedding model: text-embedding-3-large
• Chunk tokens: 3000
• Episodes to ingest: 4184
🚀 BEGIN INGEST

✅ [1/4184] @FoundMyFitness | How Micronutrients & Exercise Ameliorate Aging ｜ D... | 4 chunks
✅ [2/4184] @FoundMyFitness | The Truth About Alcohol： Risks, Benefits, and Ever... | 13 chunks
✅ [3/4184] @FoundMyFitness | Dr. Brad Schoenfeld： Resistance Training for Time ... | 9 chunks
✅ [4/4184] @FoundMyFitness | Dr. Ben Bikman： How To Reverse Insulin Resistance ... | 13 chunks
✅ [5/4184] @FoundMyFitness | How Heat Therapy Improves Slow Wave Sleep... | 1 chunks
✅ [6/4184] @FoundMyFitness | Chris McGlory, PhD, on the Anabolic Potential of O... | 8 chunks
✅ [7/4184] @FoundMyFitness | Dr. Bill Harris on the Omega-3 Index： Increasing O... | 8 chunks
✅ [8/4184] @FoundMyFitness | Dr. Benjamin Levine： How Exercise Prevents & Rever... | 9 chunks
✅ [9/4184] @FoundMyFitness | Dr. Andy Galpin： The Optimal Diet, Supplement, & R... | 19 chunks
✅ [10/4184] @FoundMyFitness | Dr. Peter Attia on Mastering Longevity – Insights ... | 16 chunks
✅ [11/4184] @FoundMyFitness | How to Improve Metabolic Health with HIIT, Circadi... | 4 chunks
✅ [12/4184] @FoundMyFitness | Ask Me Anything When You Sign Up as a FoundMyFitne... | 1 chunks
✅ [13/4184] @FoundMyFitness | What Microplastics Are Doing to the Brain, Body, a... | 5 chunks
✅ [14/4184] @FoundMyFitness | The Science of Protein and Its Role in Longevity, ... | 3 chunks
✅ [15/4184] @FoundMyFitness | Stuart Phillips, PhD, on Building Muscle with Resi... | 8 chunks
✅ [16/4184] @FoundMyFitness | How To Increase Your Testosterone Levels Naturally... | 13 chunks
✅ [17/4184] @FoundMyFitness | The Brain and Social Impacts of Early Device Expos... | 1 chunks
✅ [18/4184] @FoundMyFitness | George Church, PhD： Rewriting Genomes to Eradicate... | 7 chunks
✅ [19/4184] @FoundMyFitness | Can Psilocybin Treat Depression？... | 1 chunks
✅ [20/4184] @FoundMyFitness | This Supplement Could Cut Your Dementia Risk By 40... | 2 chunks
✅ [21/4184] @FoundMyFitness | Get the Free 9-Page BDNF Protocol Guide： The Cogni... | 1 chunks
✅ [22/4184] @FoundMyFitness | Morgan Levine, PhD, on PhenoAge and the Epigenetic... | 6 chunks
✅ [23/4184] @FoundMyFitness | The Science of Magnesium and Its Role in Aging and... | 5 chunks
✅ [24/4184] @FoundMyFitness | Why You Can’t Sleep (and How to Fix It) ｜  Dr. Mic... | 17 chunks
✅ [25/4184] @FoundMyFitness | Peter Diamandis and Tony Robbins on strategies tha... | 7 chunks
✅ [26/4184] @FoundMyFitness | Dr. Martin Gibala： The Science of Vigorous Exercis... | 11 chunks
✅ [27/4184] @FoundMyFitness | Is there a limit to human longevity？... | 1 chunks
✅ [28/4184] @FoundMyFitness | Dr. Rhonda Patrick： Optimizing Longevity with Micr... | 4 chunks
✅ [29/4184] @FoundMyFitness | Why Exercise Intensity Matters for Longevity ｜ Cro... | 4 chunks
✅ [30/4184] @FoundMyFitness | How to Train According to the Experts... | 14 chunks
✅ [31/4184] @FoundMyFitness | The Longevity & Brain Benefits of Vigorous Exercis... | 4 chunks
✅ [32/4184] @FoundMyFitness | Axel Montagne, PhD, on Solving Alzheimer’s and Dem... | 6 chunks
✅ [33/4184] @FoundMyFitness | Dr. Luc Van Loon： Optimizing Protein Intake & Dist... | 9 chunks
✅ [34/4184] @FoundMyFitness | How to Solve Aging in America (US Senate Testimony... | 1 chunks
✅ [35/4184] @FoundMyFitness | The Optimal Creatine Protocol for Strength, Brain,... | 9 chunks
✅ [36/4184] @FoundMyFitness | Dr. Layne Norton on Building Muscle – Insights on ... | 16 chunks
✅ [37/4184] @FoundMyFitness | Intestinal Permeability： the Bacterial link to Agi... | 4 chunks
✅ [38/4184] @FoundMyFitness | How To Use Coffee To Live Longer (Full Guide & Res... | 4 chunks
✅ [39/4184] @FoundMyFitness | How Vitamin D, Omega-3s, & Exercise May Increase L... | 5 chunks
✅ [40/4184] @FoundMyFitness | Andrew Huberman, PhD： How to Improve Motivation & ... | 16 chunks
✅ [41/4184] @FoundMyFitness | Dr. Ashley Mason on Sauna Use for Depression, Conq... | 8 chunks
✅ [42/4184] @FoundMyFitness | Dr. Eran Elinav on Microbiome Insights into Person... | 7 chunks
✅ [43/4184] @FoundMyFitness | Cold-Water Immersion and Cryotherapy： Neuroendocri... | 1 chunks
✅ [44/4184] @FoundMyFitness | The Science of Exercise for Cancer ｜ Kerry Courney... | 8 chunks
✅ [45/4184] @FoundMyFitness | Try FoundMyFitness Premium for 30-days for free... | 1 chunks
✅ [46/4184] @FoundMyFitness | Can exercise replace alcohol cravings？... | 1 chunks
✅ [47/4184] @FoundMyFitness | Dr. Dominic D'Agostino on Developing a Well-Design... | 12 chunks
✅ [48/4184] @bodybuildingcom | Dead Bug - Abdominal ⧸ Core Exercise Guide... | 1 chunks
✅ [49/4184] @bodybuildingcom | Getting Ripped And Cover Ready - Part 1 - Bodybuil... | 1 chunks
✅ [50/4184] @bodybuildingcom | Define Your Greatness - Show Us Your Beast Body - ... | 1 chunks
✅ [51/4184] @bodybuildingcom | Ava Cowan： Naturally Driven - Ava's Story - Bodybu... | 1 chunks
✅ [52/4184] @bodybuildingcom | 5 Moves To Powerful Pecs ｜ Hunter Labrada's Chest ... | 1 chunks
✅ [53/4184] @bodybuildingcom | Cable Crunch - Abs ⧸ Core Exercise - Bodybuilding.... | 1 chunks
✅ [54/4184] @bodybuildingcom | Ashley Hoffmann Legs Workout ｜ Build Legs You'll L... | 1 chunks
✅ [55/4184] @bodybuildingcom | How To Bench Press： Layne Norton's Complete Guide... | 1 chunks
✅ [56/4184] @bodybuildingcom | NFL Combine Trainer： Shuttle Run - Bodybuilding.co... | 1 chunks
✅ [57/4184] @bodybuildingcom | Train Abs with Ashley Conrad - Bodybuilding.com... | 1 chunks
✅ [58/4184] @bodybuildingcom | Soy Protein Guide - Bodybuilding.com... | 1 chunks
✅ [59/4184] @bodybuildingcom | 5 Moves To Massive Shoulders ｜ Hunter Labrada... | 1 chunks
✅ [60/4184] @bodybuildingcom | Train with Vinny Russo - Bodybuilding.com... | 2 chunks
✅ [61/4184] @bodybuildingcom | Crunches - Ab Exercises - Bodybuilding.com... | 1 chunks
✅ [62/4184] @bodybuildingcom | Gladiator Circuit Workout ｜ Spartacus： Gods of the... | 1 chunks
✅ [63/4184] @bodybuildingcom | Upper-Body Dorm Room Workout ｜ Katie Chung Hua... | 1 chunks
✅ [64/4184] @bodybuildingcom | Ross Bowman ｜ Hellraiser Training Testimonial... | 1 chunks
✅ [65/4184] @bodybuildingcom | Jackknife Sit Up - Core ⧸ Abs - Bodybuilding.com... | 1 chunks
✅ [66/4184] @bodybuildingcom | Ab Roller - Ab Exercises - Bodybuilding.com... | 1 chunks
